title,code,section,instructor,credit_hours,program,target_department,parent_department,type,repeat,room,day,start_time,end_time
Data Structures Lab,CL2001,BCS-3D1,,1.0,BS,CS,CS,Core,False,Lab(CS-8),Tuesday,11:30,14:20
Data Structures Lab,CL2001,BCS-3D2,,1.0,BS,CS,CS,Core,False,Lab(CS-8),Tuesday,11:30,14:20
Comp. Organization and Assembly Lang. Lab,EL2003,BCS-3B1,,1.0,BS,CS,CS,Core,False,Lab(CS-9),Tuesday,11:30,14:20
Comp. Organization and Assembly Lang. Lab,EL2003,BCS-3B2,,1.0,BS,CS,CS,Core,False,Lab(CS-9),Tuesday,11:30,14:20
Data Structures Lab,CL2001,BSE-3C1,,1.0,BS,SE,CS,Core,False,Lab(CS-9),Tuesday,14:30,17:20
Data Structures Lab,CL2001,BSE-3C2,,1.0,BS,SE,CS,Core,False,Lab(CS-9),Tuesday,14:30,17:20
Digital Logic Design Lab,EL1005,BSR-3A1,,1.0,BS,R,CS,Core,True,Physics Lab,Tuesday,08:30,11:20
Digital Logic Design Lab,EL1005,BSR-3A2,,1.0,BS,R,CS,Core,True,Micro Lab,Tuesday,08:30,11:20
Data Structures,CS2001,BDS-3B,Ms. Hira Butt,3.0,BS,DS,CS,Core,False,Seminar Hall,Wednesday,08:30,09:50
Data Structures,CS2001,BDS-3A,Ms. Hira Butt,3.0,BS,DS,CS,Core,False,Seminar Hall,Wednesday,10:00,11:20
Software Design and Analysis,CS3004,BCS-5D,Ms. Lehmia Kiran,3.0,BS,CS,CS,Core,False,Seminar Hall,Wednesday,11:30,12:50
Information Security,CS3002,BCS-7E,Dr. Ammar Haider,3.0,BS,CS,CS,Core,False,Seminar Hall,Wednesday,13:00,14:20
Linear Algebra,MT1004,BCS-3C,Dr. Akhlaq Ahmad Bhatti,3.0,BS,CS,HSS,Core,False,Seminar Hall,Wednesday,14:30,15:50
Linear Algebra,MT1004,BCS-3E,Dr. Muhammad Nasir,3.0,BS,CS,HSS,Core,False,Seminar Hall,Wednesday,16:00,17:20
Professional Practices,CS4001,BDS-7B,,3.0,BS,DS,CS,Core,False,Seminar Hall,Wednesday,17:30,18:50
Fundamental of Computer Vision,CS4059,BCS-7B,Dr. Asif Gilani,3.0,BS,CS,CS,Elective,False,CS-2,Wednesday,08:30,09:50
Data Structures,CS2001,BCS-3B,Dr. Zareen Alamgir,3.0,BS,CS,CS,Core,False,CS-2,Wednesday,10:00,11:20
Data Structures,CS2001,BCS-3A,Dr. Zareen Alamgir,3.0,BS,CS,CS,Core,False,CS-2,Wednesday,11:30,12:50
Software Design and Analysis,CS3004,BCS-5K,Ms. Mehroze Khan,3.0,BS,CS,CS,Core,False,CS-2,Wednesday,13:00,14:20
Block chain and Cryptocurrency,CS4049,BDS-7A,Ms. Tayyaba Bukhari,3.0,BS,DS,CS,Elective,False,CS-2,Wednesday,14:30,15:50
Block chain and Cryptocurrency,CS4049,BDS-7B,Ms. Tayyaba Bukhari,3.0,BS,DS,CS,Elective,False,CS-2,Wednesday,16:00,17:20
